cell,latitude,longitude,route_name,waypoint_id
1,59.42538805,5.22663018,Cruise_Haugesund_Skudefjorden_Out_20210212,4
4,59.42538805,5.22663018,Cruise_Haugesund_Skudefjorden_Out_20210212,4
5,59.42538805,5.22663018,Cruise_Haugesund_Skudefjorden_Out_20210212,4
2,59.46814508,5.15631383,Cruise_Haugesund_Skudefjorden_Out_20210212,5
1,59.46814508,5.15631383,Cruise_Haugesund_Skudefjorden_Out_20210212,5
4,59.46814508,5.15631383,Cruise_Haugesund_Skudefjorden_Out_20210212,5
5,59.46814508,5.15631383,Cruise_Haugesund_Skudefjorden_Out_20210212,5
2,59.41588239,5.1574496,Cruise_Haugesund_Skudefjorden_Out_20210212,6
1,59.41588239,5.1574496,Cruise_Haugesund_Skudefjorden_Out_20210212,6
4,59.41588239,5.1574496,Cruise_Haugesund_Skudefjorden_Out_20210212,6
5,59.41588239,5.1574496,Cruise_Haugesund_Skudefjorden_Out_20210212,6
2,59.3726682,5.10435445,Cruise_Haugesund_Skudefjorden_Out_20210212,7
1,59.3726682,5.10435445,Cruise_Haugesund_Skudefjorden_Out_20210212,7
4,59.3726682,5.10435445,Cruise_Haugesund_Skudefjorden_Out_20210212,7
5,59.3726682,5.10435445,Cruise_Haugesund_Skudefjorden_Out_20210212,7
1,59.25442045,5.09480562,Cruise_Haugesund_Skudefjorden_Out_20210212,8
0,59.25442045,5.09480562,Cruise_Haugesund_Skudefjorden_Out_20210212,8
2,59.25442045,5.09480562,Cruise_Haugesund_Skudefjorden_Out_20210212,8
3,59.25442045,5.09480562,Cruise_Haugesund_Skudefjorden_Out_20210212,8
4,59.25442045,5.09480562,Cruise_Haugesund_Skudefjorden_Out_20210212,8
5,59.25442045,5.09480562,Cruise_Haugesund_Skudefjorden_Out_20210212,8
1,59.12389938,5.14593241,Cruise_Haugesund_Skudefjorden_Out_20210212,9
0,59.12389938,5.14593241,Cruise_Haugesund_Skudefjorden_Out_20210212,9
2,59.12389938,5.14593241,Cruise_Haugesund_Skudefjorden_Out_20210212,9
3,59.12389938,5.14593241,Cruise_Haugesund_Skudefjorden_Out_20210212,9
4,59.12389938,5.14593241,Cruise_Haugesund_Skudefjorden_Out_20210212,9
5,59.12389938,5.14593241,Cruise_Haugesund_Skudefjorden_Out_20210212,9
1,59.10633076,5.24267426,Cruise_Haugesund_Skudefjorden_Out_20210212,10
0,59.10633076,5.24267426,Cruise_Haugesund_Skudefjorden_Out_20210212,10
